Song,danceability,energy,key,loudness,mode,speechiness,acousticness,liveness,valence,tempo,duration_ms,time
Apprivois_,0.656,0.672,11,-6.629,0,0.0311,0.00642,0.0779,0.774,94.976,209.827,4
Toi Et Moi,0.698,0.789,11,-7.255,0,0.052,0.0039,0.11,0.627,113.046,220.853,4
Lights On,0.599,0.703,5,-7.953,0,0.0273,0.312,0.293,0.506,89.973,207.24,4
It's Time to Wake Up 2023,0.675,0.585,5,-6.886,1,0.0264,0.314,0.0888,0.113,109.982,411.44,4
Fête de trop,0.654,0.385,10,-8.733,1,0.0899,0.119,0.105,0.468,139.766,157.733,4
Dans la radio,0.581,0.738,0,-6.501,1,0.0941,0.0743,0.0873,0.26,138.054,201.001,4
B_ton arm_,0.665,0.915,9,-5.146,1,0.113,0.0877,0.0974,0.515,128.025,214.067,4
Antibodies,0.741,0.654,8,-7.364,1,0.0362,0.00406,0.137,0.797,124.982,283.893,4
Hano¥ caf_,0.568,0.754,2,-7.402,0,0.0406,0.263,0.219,0.5,172.005,194.083,4
The Seduction Parade,0.691,0.638,9,-9.111,0,0.036,0.00347,0.113,0.143,109.985,260.44,4
La piscine,0.758,0.729,5,-5.322,0,0.0373,0.107,0.314,0.805,119.98,229.147,4
Faith,0.735,0.578,9,-11.128,0,0.101,0.159,0.103,0.49,96,265.286,4
Well Bell (Fire Walk With Me),0.605,0.889,9,-4.847,0,0.0451,0.0554,0.593,0.4,115.024,226.92,4
Soleil noir,0.778,0.514,0,-10.271,1,0.0592,0.322,0.11,0.231,116.942,263,4
Morning,0.722,0.561,4,-10.049,0,0.0311,0.168,0.167,0.0749,114.982,181.88,4
Next Touch,0.729,0.596,4,-9.56,0,0.0326,0.658,0.103,0.529,104.978,201.318,4
Territory,0.563,0.44,9,-11.943,0,0.0822,0.286,0.269,0.213,120.009,276.373,4
You & I,0.647,0.598,1,-7.076,1,0.0412,0.425,0.101,0.284,95.991,214.387,4
L'Horizon,0.404,0.618,4,-6.486,0,0.0343,0.661,0.116,0.303,83.202,422.107,4
Heartbeat,0.664,0.57,0,-7.587,1,0.159,0.563,0.103,0.32,191.931,195.28,4
When We Fall,0.698,0.464,4,-10.843,0,0.0604,0.102,0.127,0.175,114.026,262,4
Falling Out,0.769,0.439,11,-12.7,0,0.0515,0.164,0.108,0.188,102.002,322.126,4
Ouverture.,0.553,0.724,9,-5.593,1,0.0335,0.000142,0.245,0.289,119.996,199.173,4
Overnight,0.81,0.818,8,-9.599,0,0.0511,0.343,0.113,0.887,119.982,219.603,4
Ourson,0.729,0.379,11,-11.256,1,0.0891,0.804,0.0697,0.429,119.867,161.493,4
La grenade,0.713,0.7,11,-6.547,0,0.0609,0.14,0.139,0.948,129.997,194.691,4
Les baisers rouges,0.34,0.495,7,-9.411,0,0.0278,0.415,0.222,0.214,158.703,230.653,3
In Your Eyes,0.437,0.514,10,-10.103,1,0.0331,0.326,0.111,0.131,170.014,275.8,4
The Shark,0.707,0.818,0,-6.582,1,0.139,0.298,0.189,0.642,108.008,187.667,4
La chaleur,0.607,0.241,7,-13.058,1,0.0352,0.929,0.102,0.213,97.686,247.386,4
Pour oublier je dors,0.531,0.202,10,-10.449,1,0.0356,0.945,0.102,0.403,123.106,207.88,4
Bones,0.473,0.73,0,-7.673,1,0.0312,0.000244,0.181,0.265,101.024,184.467,4
La danse de Daphnis,0.734,0.405,11,-10.182,0,0.0287,0.459,0.129,0.112,104.01,295.197,4
Odissi Pt. II (Emotif) [Yuksek Remix],0.663,0.824,5,-7.995,0,0.0573,0.0631,0.0724,0.562,89.993,288.197,4
Babar,0.688,0.44,0,-9.431,0,0.036,0.0956,0.0677,0.188,116.032,214.12,4
Baby,0.638,0.661,11,-8.398,0,0.0345,0.0353,0.0639,0.834,133.017,215.363,4
Dream,0.685,0.437,8,-8.541,1,0.0266,0.428,0.0719,0.757,113.029,217.722,4
Casualty,0.876,0.481,1,-8.429,1,0.0523,0.00563,0.436,0.581,120.005,307.562,4
